"Left Behind, Not Forgotten: Reusing Regression Tests to Find Bugs in WebAssembly Runtimes",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
BugID,link,wadiff-specbench,wadiff-wasmbench,wadiff-transbench,wadiff-rtbench,wasmaker-specbench,wasmaker-wasmbench,wasmaker-llvmbench,wasmaker-rtbench,wasmaker-any,wapplique-specbench,wapplique-wasmbench,wapplique-llvmbench,wapplique-rtbench,wapplique-any,transplant,specbench,wasmbench,llvmbench,other-any,rtbench (fuzz),rtbench (transplantation),rtbench (fuzz + transplant)
reported_wasmedge_interp_no-alignmentvalidation,https://github.com/WasmEdge/WasmEdge/issues/4292,1,,,,,,,,FALSE,,,,,FALSE,,TRUE,FALSE,FALSE,TRUE,FALSE,,FALSE
reported_wasmedge_interp_num_diff,https://github.com/WasmEdge/WasmEdge/issues/4259,1,,,,,,,1,TRUE,,,,,FALSE,,TRUE,FALSE,FALSE,TRUE,TRUE,,TRUE
reported_wasmedge_compiled_segfault,https://github.com/WasmEdge/WasmEdge/issues/4258,1,,,,,,,,FALSE,,1,,1,TRUE,,TRUE,TRUE,FALSE,TRUE,TRUE,,TRUE
reported_wasmedge_no_funcref,https://github.com/WasmEdge/WasmEdge/issues/4260,1,,,,,,,,FALSE,,,,,FALSE,1,TRUE,FALSE,FALSE,TRUE,FALSE,1,TRUE
reported_wasmedge_compiled_num_diff,https://github.com/WasmEdge/WasmEdge/issues/4257,1,,,,,,,1,TRUE,,,,,FALSE,,TRUE,FALSE,FALSE,TRUE,TRUE,,TRUE
reported_wasmedge_interp_nancanon_num_diff,https://github.com/WasmEdge/WasmEdge/issues/4057,,,,,,,,,FALSE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE
reported_wasmedge_all_oob,https://github.com/WasmEdge/WasmEdge/issues/4289,,,,,,,,1,TRUE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE
reported_wasmedge_all_timeout,https://github.com/WasmEdge/WasmEdge/issues/4290,,,,,,,,1,TRUE,,,1,,TRUE,,FALSE,FALSE,TRUE,TRUE,TRUE,,TRUE
reported_wasmedge_compilationtimeout,https://github.com/WasmEdge/WasmEdge/issues/4392,,,,,,,,1,TRUE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE
reported_reduced_wasmedge_all_errorcallingstack,https://github.com/WasmEdge/WasmEdge/issues/4299,,,,,,,,,FALSE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE
reported_wasmedge_all_import_error,https://github.com/WasmEdge/WasmEdge/issues/4303,,,,,,,,,FALSE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE
reported_wasmedge_all_no-unreachable,https://github.com/WasmEdge/WasmEdge/issues/4305,,,,,,,,,FALSE,,,,1,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE
reported_wasmedge_all_unreachable,https://github.com/WasmEdge/WasmEdge/issues/4304,,,,,,,,,FALSE,,,,1,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE
reported_reduced_wasmedge_interp_timeout,https://github.com/WasmEdge/WasmEdge/issues/4306,,,,,,,,,FALSE,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE
reported_wasmedge_compiled_assertion_aborted,https://github.com/WasmEdge/WasmEdge/issues/4325,,,,,,,,,FALSE,,,,,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE
reported_wasmedge_interp_lockedat_integer_too_large,https://github.com/WasmEdge/WasmEdge/issues/4378,,,,,,,,,FALSE,,,,,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE
reported_wasmedge_all_failed_preopened_filedescriptor,https://github.com/WasmEdge/WasmEdge/issues/4367,,,,,,,,,FALSE,,,,,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,TRUE
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
TOTAL: 54,54,9,0,0,0,0,3,3,17,,0,2,6,10,,13,,,,,25,13,
